,Review,Nouns
0,iq weaver place has been an amazing place to reside in while at uni,"['iq', 'weaver', 'place', 'place', 'while']"
1,moved here in september and spent most of lockdown within my flat space,"['lockdown', 'space']"
2,amazing on site staff who are always ready and enthusiastic to provide any type of assistance required,"['site', 'staff', 'type', 'assistance']"
3,would definitely recommend staying here for uni students looking to book accommodation,"['students', 'book', 'accommodation']"
4,i am living in classic studio with a window facing to south,"['i', 'studio', 'window', 'facing']"
5,the space and decroations of room are decent,"['space', 'decroations', 'room']"
6,there are some features that i quite like,['features']
7,1the living space is pretty quiet,['space']
8,there is no worry about noise in any time,"['worry', 'time']"
9,2the receptionist is quite kind,"['receptionist', 'kind']"
10,and they will quickly inform you if your amaz package is reached,['package']
11,3there are some small gifts or candies during festivals,"['gifts', 'candies', 'festivals']"
12,4there are two stores near the accomadation,"['stores', 'accomadation']"
13,and it takes about 10min walk to the shopping centre,"['walk', 'shopping', 'centre']"
14,basically if you enjoy a quiet life during your study that is definately one of best places you want to choose in coventry,"['life', 'study', 'places', 'coventry']"
15,i have a very nice experience staying in julian court,"['i', 'experience', 'court']"
16,all the rooms are studios,"['rooms', 'studios']"
17,the residence is in a quite area so no worry about notices outside,"['residence', 'area', 'worry', 'notices']"
18,also to go to university of warwick only takes about 20 minutes in total,"['university', 'warwick', 'minutes']"
19,the staff here are really friendly and helpful,['staff']
20,they can help you with anything from local life to living experience,"['anything', 'life', 'experience']"
21,i’ll definitely recommend it to those who wish to have a private space to stay,"['i’ll', 'space']"
22,as a selfcontained studio apartment julian court has all the functions i need to live securely and safely under covid19 pandemic,"['studio', 'apartment', 'court', 'functions', 'covid19', 'pandemic']"
23,and the reception service here is really warm and welcoming,"['reception', 'service']"
24,i like the young lady in reception she is always enthusiasm when i pick the package,"['i', 'lady', 'reception', 'i', 'package']"
25,comfortable convenient position good service,"['position', 'service']"
26,an enjoybale living experience,"['living', 'experience']"
27,it is suitable for various students,['students']
28,i love my room especially the two big windows from which i can see beautiful sceneries,"['i', 'room', 'windows', 'i', 'sceneries']"
29,the furniture inside the room is great and convenient to use,"['furniture', 'room', 'convenient']"
30,besides the administrator at the reception is very enthusiastic and kind,"['administrator', 'reception', 'kind']"
31,really enjoying living there,['living']
32,i have lived here for more than 4 years and my overall experience with study inn is absolutely amazing,"['i', 'years', 'experience', 'study', 'inn']"
33,it has the best arrangements management and staff and i love how considerate everyone is,"['arrangements', 'management', 'staff', 'i', 'everyone']"
34,gonna miss it badly once i am gone,['gonna']
35,very helpful and cooperative staff,['staff']
36,always ready to assist the residents and take measures to keep us safe,"['residents', 'measures']"
37,nice atmosphere,[]
38,staffs are very friendly and ready to help,['staffs']
39,need to improve the wifi,"['need', 'wifi']"
40,if you want to live in an accomondation in the heart of the city centre then this is your place,"['accomondation', 'heart', 'city', 'centre', 'place']"
41,the room is excellent with all the necessary tools to live so there is no need to buy anything,"['room', 'tools', 'need', 'anything']"
42,toilet is good but a bit small,['toilet']
43,heating during the winter is great and can keep u warm,"['winter', 'warm']"
44,the desk for you to study is large with enough space to put your books and computer,"['desk', 'space', 'books', 'computer']"
45,the staff is friendly kind especially the manager of the building and always ready to help even during the night,"['staff', 'kind', 'manager', 'building', 'night']"
46,the only thing that needs an update is the social spacesmore games spaces to play and engage with each other etc in the accomondation and more social events in order for all of us to get to know each other,"['thing', 'update', 'spacesmore', 'games', 'spaces', 'etc', 'accomondation', 'events', 'order']"
47,finally since the building is in the city centre you can confortably explore the citys day and night social life with a nice selection of cafes restaurants and bars all of them are very close from the accomondation on foot,"['building', 'city', 'centre', 'day', 'night', 'life', 'selection', 'cafes', 'restaurants', 'bars', 'accomondation', 'foot']"
48,fine for locationrooms are spacious but toilets are datedstaff are there all the time and everything is ready to stay so no need to buy anything,"['fine', 'locationrooms', 'toilets', 'time', 'everything', 'need', 'anything']"
49,i’ve never seen a property that clean and cosy,"['i’ve', 'property']"
50,thanks to dorota for helping me even when she doesn’t work,"['thanks', 'work']"
51,she’s always available,['she’s']
52,i loved ringway house as soon as i had my viewing the space the location and especially the management dorota and sarah who have been wonderful,"['i', 'house', 'i', 'space', 'location', 'management', 'dorota', 'sarah']"
53,ringway house is located in a really convenient location close to bus stops to get to uni and the city centre for all your shopping needs,"['ringway', 'house', 'location', 'stops', 'city', 'centre', 'shopping', 'needs']"
54,my studio is spacious and i have an amazing view of the city,"['studio', 'i', 'view', 'city']"
55,the property team is lovely and friendly as well,"['property', 'team']"
56,lovely management with lovely management would highly recommend it’s the little things that count and they’re always working around the clock,"['management', 'management', 'it’s', 'things', 'count', 'they’re', 'clock']"
57,nice rooms also very good value for money,"['rooms', 'value', 'money']"
58,great staff for the most part but very unpleasant stay,"['staff', 'part', 'stay']"
59,constant constant issues with water heating plumbing general falling apart of the room lighting only a couple of weeks after i moved in,"['issues', 'water', 'apart', 'room', 'couple', 'weeks', 'i']"
60,higher management didn’t seem to care about the issues i and plenty other residents hadstill have,"['management', 'didn’t', 'issues', 'i', 'plenty', 'residents', 'hadstill']"
61,staff didn’t tell me when a repair i had was due and entered my room while i was out which is very concerning and an invasion of privacy and didn’t say anything when i said as much  again didn’t seem to care,"['staff', 'didn’t', 'repair', 'i', 'room', 'i', 'invasion', 'privacy', 'didn’t', 'anything', 'i']"
62,some tenants very rude and disrespectful without cause  touching my clothes verbal abuse staff were aware and didn’t care overall awful stay i would highly recommend avoiding this place for your stay as i have said to every other uni student i know here out of genuine concern for them,"['tenants', 'cause', 'clothes', 'staff', 'care', 'stay', 'place', 'stay', 'i', 'student', 'i', 'concern']"
63,i love this place been a blast since i moved in september and it’s only gone better as my journey continues with ringway house,"['place', 'blast', 'i', 'september', 'it’s', 'journey', 'ringway', 'house']"
64,will definitely recommend this to any student without a shadow of a doubt and love to thank the management team dorota for making my stay so pleasantt,"['student', 'shadow', 'doubt', 'management', 'team', 'dorota', 'stay']"
65,it is an absolutely great place with highest covid19 tailored standards,"['place', 'covid19', 'standards']"
66,the receptionist and house manager hedy is very friendly and is keen to always help residents out with any issues,"['receptionist', 'house', 'manager', 'hedy', 'residents', 'issues']"
67,a great gym facility on the ground floor and spacious study areas with large tv facilities for working on your uni presentation when a your room environment is too familiar and demotivating,"['facility', 'ground', 'floor', 'study', 'areas', 'tv', 'facilities', 'presentation', 'room', 'environment']"
68,the location is also 1 min away from coventry station which is 40 mins away from london euston’s station to enjoy london vibes every weekends,"['location', 'min', 'coventry', 'station', 'mins', 'station', 'vibes', 'weekends']"
69,great value for money 💰 and top service quality,"['value', 'money', '💰', 'service', 'quality']"
70,amazing accommodation i love the gym and room is very clear and bright especially the staffs are very friendly,"['accommodation', 'i', 'gym', 'room', 'staffs']"
71,its actually a nice location，near the rail station and bus stop,"['rail', 'station', 'bus', 'stop']"
72,the facilities are all great,['facilities']
73,the service from reception staffs are great,"['service', 'reception', 'staffs']"
74,they are all nice people and glad to help us,"['people', 'glad']"
75,good location that next to the coventry railway and bus station suitable for coventry or warwick uni student,"['location', 'coventry', 'railway', 'station', 'suitable', 'coventry', 'student']"
76,clean room and corridor,"['room', 'corridor']"
77,they have enough social facilities like gym room study room even study area in the lobby,"['facilities', 'gym', 'room', 'study', 'room', 'area', 'lobby']"
78,mercia lodge is conveniently located at the center with ease of access to all i need as a student it’s like a 5  7 minute walk from coventry university 1  5 minute walk from shopping malls fast food joints restaurants and more,"['mercia', 'lodge', 'center', 'ease', 'access', 'i', 'student', 'it’s', 'minute', 'walk', 'coventry', 'university', 'minute', 'walk', 'malls', 'food', 'joints', 'restaurants']"
79,the management team provide a great customer service they are nice easy to talk to and understanding,"['management', 'team', 'customer', 'service']"
80,in short it’s an outstanding and low key place,"['it’s', 'place']"
81,staying in mercia lodge was an overall enjoyable experience for me but it has its issues,"['mercia', 'lodge', 'experience', 'issues']"
82,its in a great location only a few minutes to get to the shops or uni and its right across the street from wetherspoons,"['location', 'minutes', 'shops', 'street', 'wetherspoons']"
